"Element","Area","Type","Control System Name","Area2","Component Name","Component Comments","Slc Name","Symbols Upload Id","Ltu Upload Id","First Sourced From","Active","Filename","Sector","Sector Location","Undulator Cell","Keyword","Barcode","Engineering Name","SumL (m)","SumL (ft)","Linac Z (m)","Linac Z (ft)","Ltu SumL (m)","Ltu SumL (ft)","Ltu Linac Z (m)","Ltu Linac Z (ft)","Local Area Drawing","Irmis Ioc Names","Element Comment","Sections","Begin Dbmark","Begin SumL (m)","End Dbmark","End SumL (m)","Bsa Device","Obstruction","Effective Length (m)","Rf Frequency (MHz)","Rf Amplitude (MeV)","Rf Phase (deg)","Rf Gradient (MeV/m)","Rf Power Fraction","Z Length (m)","Fringe Field Integral","Integrated Field BL (kG-m)","Field B (T)","Integrated Field Grad GL (kG)","Field Gradient G (T/m)","Xal Scale Name","Xal Scale Value","Xal Polarity","Magnet X Coor (m)","Magnet Y Coor (m)","Magnet Z Coor (m)","Magnet X Angle (rad)","Magnet Y Angle (rad)","Magnet Z Angle (rad)","Solenoid Strength KS (1/m)","Undulator Period Length (m)","Undulator Strength K","X Size (m)","Y Size (m)","Section","Dist From Section Start (m)","Xal Keyword","S Display","Ltu Rf Frequency (MHz)","Ltu Rf Amplitude (MeV)","Ltu Rf Phase (deg)","Ltu Rf Gradient (MeV/m)","Ltu Rf Power Fraction","Ltu Z Length (m)","Ltu Fringe Field Integral","Ltu Integrated Field BL (kG-m)","Ltu Field B (T)","Ltu Integrated Field Grad GL (kG)","Ltu Field Gradient G (T/m)","Ltu Xal Scale Name","Ltu Xal Scale Value","Ltu Xal Polarity","Ltu Magnet X Coor","Ltu Magnet Y Coor","Ltu Magnet Z Coor","Ltu Magnet X Angle","Ltu Magnet Y Angle","Ltu Magnet Z Angle","Ltu Solenoid Strength Ks","Ltu Undulator Period Length","Ltu Undulator Strength K","Ltu X Size","Ltu Y Size","Ltu Section","Ltu Dist From Section Start","Ltu Xal Keyword","Ltu S Display","Ioc Captar Search","Slc Captar Search","Operation Status","Op Status Date","Beampath"
"SOL10111","INJ","MAD","SOLN:IN10:111","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","SOLE","002748T","BUCKING COIL","0","0","1002.273993","3288.300502","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","0","0","","","KG2T",".1","-1","","","","","","","0","","","","","CATHODE TO DL10","0","SOLE","999.14446037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLN:IN10%25","SOLN:%25","","","F2_ELEC, F2_SCAV,"
"CQ10121","INJ","MAD","QUAD:IN10:121","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","002748Q","2.90SO8.209",".1972947",".647292","1002.435607","3288.830732","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DL10",".1972947","QUAD","999.34175507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","","F2_ELEC, F2_SCAV,"
"SOL10121","INJ","MAD","SOLN:IN10:121","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","SOLE","002748","2.90SO8.209",".1972947",".647292","1002.435607","3288.830732","","","","","","","","	- NO SECTION -","","","","","N","N",".2","","","","","","","","0","0","","","KG2T_BDL2B",".5","-1","","","","","","","0","","","","","CATHODE TO DL10",".1972947","SOLE","999.34175507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLN:IN10%25","SOLN:%25","","","F2_ELEC, F2_SCAV,"
"SQ10122","INJ","MAD","QUAD:IN10:122","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","002748SQ","2.90SO8.209",".1972947",".647292","1002.435607","3288.830732","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DL10",".1972947","QUAD","999.34175507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","","F2_ELEC, F2_SCAV,"
"XC10121","INJ","MAD","XCOR:IN10:121","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","002748X","CLASS-S",".1972947",".647292","1002.435607","3288.830732","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".1972947","XCOR","999.34175507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","","F2_ELEC, F2_SCAV,"
"YC10122","INJ","MAD","YCOR:IN10:122","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","002748Y","CLASS-S",".1972947",".647292","1002.435607","3288.830732","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".1972947","YCOR","999.34175507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","","F2_ELEC, F2_SCAV,"
"VV10155","INJ","MAD","VVPG:IN10:155","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","",".3758048","1.232955","1002.581834","3289.310479","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".3758048","INST","999.52026517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VVPG:IN10%25","VVPG:%25","","","F2_ELEC, F2_SCAV,"
"MIR10181","INJ","MAD","MIRR:IN10:181","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","",".491891","1.613816","1002.676926","3289.622461","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".491891","INST","999.63635137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MIRR:IN10%25","MIRR:%25","","","F2_ELEC, F2_SCAV,"
"VV10215","INJ","MAD","VVPG:IN10:215","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","",".5730268","1.880009","1002.743389","3289.840515","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".5730268","INST","999.71748717","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VVPG:IN10%25","VVPG:%25","","","F2_ELEC, F2_SCAV,"
"BPM10221","INJ","MAD","BPMS:IN10:221","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","BPM","","SA-388-014-10",".6993492","2.294453","1002.846866","3290.180007","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".6993492","BPM","999.84380957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:IN10%25","BPMS:%25","","","F2_ELEC, F2_SCAV,"
"XC10221","INJ","MAD","XCOR:IN10:221","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","18063294X","CLASS-G",".7078582","2.322369","1002.853836","3290.202874","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".7078582","XCOR","999.85231857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","","F2_ELEC, F2_SCAV,"
"YC10222","INJ","MAD","YCOR:IN10:222","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","18063294Y","CLASS-G",".7078582","2.322369","1002.853836","3290.202874","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".7078582","YCOR","999.85231857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","","F2_ELEC, F2_SCAV,"
"PR10241","INJ","MAD","YAGS:IN10:241","INJ","","","","291","","SYMBOLS","A","FACET2","S10","","","PROF","","YAG",".9420843","3.090828","1003.045703","3290.832359","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10",".9420843","PROF","1000.08654467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YAGS:IN10%25","YAGS:%25","","","F2_ELEC, F2_SCAV,"
"XC10311","L0F","MAD","XCOR:IN10:311","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","18063296X","C-1S-L0A","1.9395235","6.363266","1003.862757","3293.512982","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","1.9395235","XCOR","1001.08398387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","",""
"YC10312","L0F","MAD","YCOR:IN10:312","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","18063296Y","C-1S-L0A","1.9395235","6.363266","1003.862757","3293.512982","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","1.9395235","YCOR","1001.08398387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","",""
"L0AF","L0F","MAD","ACCL:IN10:300","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","LCAV","","DUALFEED","2.5798257","8.463995","1004.387263","3295.233802","","","","","","","","	- NO SECTION -","","","","","N","N","3.095244","2856","58.05525574","-2.49999999984","18.756277611717","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","2.5798257","BNCH","1001.72428607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:IN10%25","ACCL:%25","","",""
"QA10361","L0F","MAD","QUAD:IN10:361","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","4034","1.26Q3.5","4.4123893","14.476343","1005.888411","3300.158829","","","","","","","","	- NO SECTION -","","","","","N","N",".108","","","","","","","","","","-2.602677036761","2.409886145149","KG2T_GDL2G",".925925925926","1","","","","","","","","","","","","CATHODE TO DL10","4.4123893","QUAD","1003.55684967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","",""
"PH10365","L0F","MAD","PCAV:IN10:365","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","","4.5608733","14.963495","1006.010041","3300.557877","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","4.5608733","INST","1003.70533367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PCAV:IN10%25","PCAV:%25","","",""
"BPM10371","L0F","MAD","BPMS:IN10:371","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","BPM","","STRIPLINE-1","4.7407653","15.553692","1006.1574","3301.041339","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","4.7407653","BPM","1003.88522567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:IN10%25","BPMS:%25","","",""
"QA10371","L0F","MAD","QUAD:IN10:371","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","4035","1.26Q3.5","4.7407653","15.553692","1006.1574","3301.041339","","","","","","","","	- NO SECTION -","","","","","N","N",".108","","","","","","","","","","2.62955617859","-2.434774239435","KG2T_GDL2G",".925925925926","-1","","","","","","","","","","","","CATHODE TO DL10","4.7407653","QUAD","1003.88522567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","",""
"XC10381","L0F","MAD","XCOR:IN10:381","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","18063300X","CLASS-1S","5.2564274","17.245497","1006.579806","3302.427185","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","5.2564274","XCOR","1004.40088777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","",""
"YC10382","L0F","MAD","YCOR:IN10:382","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","18063300Y","CLASS-1S","5.2564274","17.245497","1006.579806","3302.427185","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","5.2564274","YCOR","1004.40088777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","",""
"L0BF","L0F","MAD","ACCL:IN10:400","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","LCAV","","DUALFEED","6.4082753","21.024525","1007.523345","3305.522785","","","","","","","","	- NO SECTION -","","","","","N","N","3.095244","2856","61.058113801","-2.49999999984","19.726429903749","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","6.4082753","BNCH","1005.55273567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:IN10%25","ACCL:%25","","",""
"XC10411","L0F","MAD","XCOR:IN10:411","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","18063302X","CLASS-1S","7.5598383","24.802619","1008.46665","3308.617618","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","7.5598383","XCOR","1006.70429867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","",""
"YC10412","L0F","MAD","YCOR:IN10:412","L0F","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","18063302Y","CLASS-1S","7.5598383","24.802619","1008.46665","3308.617618","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DL10","7.5598383","YCOR","1006.70429867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","",""
"BPM10425","DL10","MAD","BPMS:IN10:425","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BPM","","STRIPLINE-1","8.0515043","26.415697","1008.869399","3309.938973","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F",".095607","BPM","1007.19596467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:IN10%25","BPMS:%25","","","F2_ELEC, F2_SCAV,"
"QE10425","DL10","MAD","QUAD:IN10:425","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","4036","1.26Q3.5","8.0515043","26.415697","1008.869399","3309.938973","","","","","","","","	- NO SECTION -","","","","","N","N",".108","","","","","","","","","","-8.773676685913","8.123774709178","KG2T_GDL2G",".925925925926","1","","","","","","","","","","","","DL10 TO L1F",".095607","QUAD","1007.19596467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","","F2_ELEC, F2_SCAV,"
"IM10431","DL10","MAD","TORO:IN10:362","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","IMON","","TOROID","8.1818773","26.843429","1008.976194","3310.28935","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F",".22598","TORO","1007.32633767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TORO:IN10%25","TORO:%25","","","F2_ELEC, F2_SCAV,"
"VV10435","DL10","MAD","VVPG:IN10:435","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","","8.3042363","27.24487","1009.076425","3310.618192","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F",".348339","INST","1007.44869667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VVPG:IN10%25","VVPG:%25","","","F2_ELEC, F2_SCAV,"
"QE10441","DL10","MAD","QUAD:IN10:441","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","4038","1.26Q3.5","8.4530173","27.732996","1009.198299","3311.018041","","","","","","","","	- NO SECTION -","","","","","N","N",".108","","","","","","","","","","10.239314441072","-9.480846704696","KG2T_GDL2G",".925925925926","-1","","","","","","","","","","","","DL10 TO L1F",".49712","QUAD","1007.59747767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","","F2_ELEC, F2_SCAV,"
"BCX10451","DL10","MAD","BEND:IN10:451","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BEND","PC100886","1.18D3.17","8.69659249","28.532128","1009.39896","3311.676378","","","","","","","","	- NO SECTION -","","","","","N","N",".12476","","","","","",".124399976625",".3997","-.548879648283",".439948419592","0","0","KG2T_BDL2B",".801538954793","1","1009.400139","5.210326","0","0","0","-.610865","","","","","","DL10 TO L1F",".74069519","XBEND","1007.84105286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BEND:IN10%25","BEND:%25","","","F2_ELEC, F2_SCAV,"
"BCX10461","DL10","MAD","BEND:IN10:461","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BEND","PC100887","1.18D3.17","8.963450171","29.407645","1009.633775","3312.446768","","","","","","","","	- NO SECTION -","","","","","N","N",".12476","","","","","",".124399976625",".3997",".548879648283","-.439948419592","0","0","KG2T_BDL2B",".801538954793","-1","1009.632596","5.080294","0","0","0","-.610865","","","","","","DL10 TO L1F","1.007552871","XBEND","1008.107910541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BEND:IN10%25","BEND:%25","","","F2_ELEC, F2_SCAV,"
"PR10465","*DL10","MAD","OTRS:IN10:465","*DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","PROF","","OTR","9.106662764","29.877503","1009.752224","3312.835381","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","1.150765464","PROF","1008.251123134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OTRS:IN10%25","OTRS:%25","","",""
"UM10466","DL10","MAD","USEG:IN10:466","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","USEG","","LHUND","9.44442389","30.985643","1010.028901","3313.743114","","","","","","","","	- NO SECTION -","","","","","N","N",".506264","","","","","","","","","","","","","","","","","","","","","",".053855","1.169982995145","","","DL10 TO L1F","1.48852659","USEG","1008.58888426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USEG:IN10%25","USEG:%25","","","F2_ELEC, F2_SCAV,"
"PR10471","*DL10","MAD","OTRS:IN10:471","*DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","PROF","","OTR","9.782103101","32.093514","1010.305512","3314.65063","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","1.826205801","PROF","1008.926563471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OTRS:IN10%25","OTRS:%25","","",""
"BCX10475","DL10","MAD","BEND:IN10:475","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BEND","PC100885","1.18D3.17","9.918929601","32.54242","1010.416385","3315.014386","","","","","","","","	- NO SECTION -","","","","","N","N",".12476","","","","","",".124399976625",".3997",".548879648283","-.439948419592","0","0","KG2T_BDL2B",".801538954793","-1","1010.415206","4.532305","0","0","0","-.610865","","","","","","DL10 TO L1F","1.963032301","XBEND","1009.063389971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BEND:IN10%25","BEND:%25","","","F2_ELEC, F2_SCAV,"
"BCX10481","DL10","MAD","BEND:IN10:481","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BEND","PC100888","1.18D3.17","10.18578728","33.417937","1010.61572","3315.668373","","","","","","","","	- NO SECTION -","","","","","N","N",".12476","","","","","",".124399976625",".3997","-.548879648283",".439948419592","0","0","KG2T_BDL2B",".801538954793","1","1010.6169","4.358341","0","0","0","-.610865","","","","","","DL10 TO L1F","2.22988998","XBEND","1009.33024765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BEND:IN10%25","BEND:%25","","","F2_ELEC, F2_SCAV,"
"TCY10490","DL10","MAD","TCAV:IN10:490","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","LCAV","","SHORT TCAV","10.70494452","35.121209","1011.03978","3317.059646","","","","","","","","	- NO SECTION -","","","","","N","N",".668024","2856","0","0","0","1","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","2.74904722","BNCH","1009.84940489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TCAV:IN10%25","TCAV:%25","","","F2_ELEC, F2_SCAV,"
"XC10491","DL10","MAD","XCOR:IN10:491","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","18063310X","CLASS_1T","10.70494452","35.121209","1011.03978","3317.059646","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","2.74904722","XCOR","1009.84940489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","","F2_ELEC, F2_SCAV,"
"YC10492","DL10","MAD","YCOR:IN10:492","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","18063310Y","CLASS_1T","10.70494452","35.121209","1011.03978","3317.059646","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","2.74904722","YCOR","1009.84940489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","","F2_ELEC, F2_SCAV,"
"BPM10511","DL10","MAD","BPMS:IN10:511","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BPM","","STRIPLINE-1","11.14512962","36.565386","1011.400358","3318.242644","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","3.18923232","BPM","1010.28958999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:IN10%25","BPMS:%25","","","F2_ELEC, F2_SCAV,"
"QE10511","DL10","MAD","QUAD:IN10:511","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","4037","1.26Q3.5","11.14512962","36.565386","1011.400358","3318.242644","","","","","","","","	- NO SECTION -","","","","","N","N",".108","","","","","","","","","","5.466421061039","-5.061500982443","KG2T_GDL2G",".925925925926","-1","","","","","","","","","","","","DL10 TO L1F","3.18923232","QUAD","1010.28958999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","","F2_ELEC, F2_SCAV,"
"XC10521","DL10","MAD","XCOR:IN10:521","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","XCOR","18063313X","CLASS_1A","11.34459682","37.219806","1011.563752","3318.778714","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","3.38869952","XCOR","1010.48905719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:IN10%25","XCOR:%25","","","F2_ELEC, F2_SCAV,"
"YC10522","DL10","MAD","YCOR:IN10:522","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","YCOR","18063313Y","CLASS_1A","11.34459682","37.219806","1011.563752","3318.778714","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","3.38869952","YCOR","1010.48905719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:IN10%25","YCOR:%25","","","F2_ELEC, F2_SCAV,"
"BPM10525","DL10","MAD","BPMS:IN10:525","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BPM","","STRIPLINE-1","11.53509582","37.844803","1011.7198","3319.290682","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","3.57919852","BPM","1010.67955619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:IN10%25","BPMS:%25","","","F2_ELEC, F2_SCAV,"
"QE10525","DL10","MAD","QUAD:IN10:525","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","QUAD","4039","1.26Q3.5","11.53509582","37.844803","1011.7198","3319.290682","","","","","","","","	- NO SECTION -","","","","","N","N",".108","","","","","","","","","","-4.914388770979","4.550359973128","KG2T_GDL2G",".925925925926","1","","","","","","","","","","","","DL10 TO L1F","3.57919852","QUAD","1010.67955619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:IN10%25","QUAD:%25","","","F2_ELEC, F2_SCAV,"
"VV10545","DL10","MAD","VVPG:IN10:545","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","","11.87950998","38.97477","1012.001928","3320.216299","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","3.92361268","INST","1011.02397035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VVPG:IN10%25","VVPG:%25","","","F2_ELEC, F2_SCAV,"
"WALLBEG","DL10","MAD","","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","","12.00101064","39.373394","1012.101455","3320.542831","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","4.04511334","INST","1011.14547101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","F2_ELEC, F2_SCAV,"
"WALLEND","DL10","MAD","","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","","13.42341064","44.040061","1013.266617","3324.365541","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","5.46751334","INST","1012.56787101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","F2_ELEC, F2_SCAV,"
"RST10551","DL10","MAD","STPR:IN10:551","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","INST","","RAD STOP","13.70351096","44.959025","1013.496062","3325.118314","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","5.74761366","INST","1012.84797133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STPR:IN10%25","STPR:%25","","","F2_ELEC, F2_SCAV,"
"WS10561","DL10","MAD","WIRE:IN10:561","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","WIRE","","","14.02121383","46.001358","1013.756309","3325.972142","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","6.06531653","WIRE","1013.1656742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WIRE:IN10%25","WIRE:%25","","","F2_ELEC, F2_SCAV,"
"PR10571","DL10","MAD","OTRS:IN10:571","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","PROF","","OTR","14.23668209","46.708275","1013.93281","3326.551214","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","6.28078479","PROF","1013.38114246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OTRS:IN10%25","OTRS:%25","","","F2_ELEC, F2_SCAV,"
"BPM10581","DL10","MAD","BPMS:IN10:581","DL10","","","","291","","SYMBOLS","A","FACET2","S10","","","BPM","","STRIPLINE-1","14.40166858","47.249569","1014.067959","3326.994616","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","DL10 TO L1F","6.44577128","BPM","1013.54612895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:IN10%25","BPMS:%25","","","F2_ELEC, F2_SCAV,"
